t_ms,raw,avg,var,maxminusmin,lastminusfirst,label
46830,82713,82730,17653,378,-269, NO_EVENT
46855,82531,82572,17227,365,-182, NO_EVENT
46880,82264,82445,25085,470,-267, NO_EVENT
46905,82241,82330,4876,195,-151, NO_EVENT
46930,82209,82293,6505,232,-32, NO_EVENT
46955,81873,81967,20065,448,-336, NO_EVENT
46980,81254,81301,166176,1345,-35, NO_EVENT
47005,78117,79575,1398015,3137,-3137, NO_EVENT
47030,77234,77627,971987,3146,-883, NO_EVENT
47055,76591,77057,499184,2240,-643, NO_EVENT
47080,75979,76524,137416,925,-833, NO_EVENT
47105,74719,75005,187412,1359,-1260, NO_EVENT
47130,74977,74655,17446,501,258, NO_EVENT
47155,74340,74725,51367,637,-637, NO_EVENT
47180,74715,74781,88244,922,137, NO_EVENT
47205,74612,74811,54466,606,-103, NO_EVENT
47230,74550,74733,13123,349,-62, NO_EVENT
47255,74848,74526,126772,1015,298, NO_EVENT
47280,74438,74636,16683,408,-106, NO_EVENT
47305,74243,74377,61532,680,-110, NO_EVENT
47330,74382,74354,33586,454,139, NO_EVENT
47355,74294,74342,26006,510,-88, NO_EVENT
47380,74333,74357,17987,398,39, NO_EVENT
47405,74323,74381,3339,163,-113, NO_EVENT
47430,73878,74192,15388,416,-321, NO_EVENT
47455,74091,74283,25385,629,213, NO_EVENT
47480,74072,74403,112885,1046,-19, NO_EVENT
47505,74119,74446,66274,823,47, NO_EVENT
47530,74148,74341,21000,354,29, NO_EVENT
47555,74635,74320,52102,613,562, NO_EVENT
47580,74357,74414,130282,1161,-278, NO_EVENT
47605,74606,74365,43233,644,249, NO_EVENT
47630,74134,74231,28853,541,-472, NO_EVENT
47655,74382,74330,16613,416,248, NO_EVENT
47680,74290,74297,27398,479,100, NO_EVENT
47705,74044,74265,47269,599,-246, NO_EVENT
47730,74422,74308,135628,1081,378, NO_EVENT
47755,74146,74365,44234,559,-276, NO_EVENT
47780,74133,74317,30293,482,-13, NO_EVENT
47805,74152,74319,9007,296,-296, NO_EVENT
47830,74252,74225,1886,138,96, NO_EVENT
47855,73991,74336,44208,622,-261, NO_EVENT
47880,74097,74258,54782,684,106, NO_EVENT
47905,73995,74298,82537,906,-102, NO_EVENT
47930,74122,74234,13260,361,-323, NO_EVENT
47955,74277,74206,13026,291,-7, NO_EVENT
47980,73973,74280,41302,665,-304, NO_EVENT
48005,74446,74273,24627,529,473, NO_EVENT
48030,74771,74491,26624,594,325, NO_EVENT
48055,73962,74356,63523,809,-809, NO_EVENT
48080,74424,74332,14168,336,173, NO_EVENT
48105,74422,74396,27272,563,-2, NO_EVENT
48130,74428,74270,31479,549,6, NO_EVENT
48155,74186,74222,19028,335,-242, NO_EVENT
48180,74048,74175,35197,502,-138, NO_EVENT
48205,74035,74316,87726,815,71, NO_EVENT
48230,73881,74090,51742,657,-299, NO_EVENT
48255,74992,74611,160382,1327,1111, NO_EVENT
48280,74386,75213,1004535,2706,-606, NO_EVENT
48305,75760,75811,1735162,3845,1374, NO_EVENT
48330,76131,75834,65112,697,360, NO_EVENT
48355,79909,78294,1121344,3778,3778, NO_EVENT
48380,81302,80570,352025,1667,1667, NO_EVENT
48405,81980,81854,60766,813,678, NO_EVENT
48430,82237,82105,33989,439,257, NO_EVENT
48455,82638,82443,10448,336,227, NO_EVENT
48480,84115,82967,162532,1477,1477, NO_EVENT
48505,221899,117006,15773527,137784,137784, TOUCHED
48530,222922,222726,332572,1297,1023, TOUCHED
48555,222067,222723,108418,855,-855, TOUCHED
48580,221368,221980,95800,802,-699, TOUCHED
48605,221867,222286,494849,1574,499, TOUCHED
48630,90106,125996,37856902,131761,-131761, UNTOUCHED
48655,85741,86559,1142709,2794,-2482, NO_EVENT
48680,84396,84822,181993,1153,-860, NO_EVENT
48705,83503,83786,232723,1285,-893, NO_EVENT
48730,83166,83337,10448,337,-337, NO_EVENT
48755,84427,83679,282005,1415,1261, NO_EVENT
48780,86001,85258,822461,2156,1574, NO_EVENT
48805,210814,99769,47788404,123723,123723, TOUCHED
48830,221575,217968,34248874,12103,10761, TOUCHED
48855,222178,222475,661285,1725,603, TOUCHED
48880,208356,220384,27745601,14771,-13822, TOUCHED
48905,87393,109135,33789405,120963,-120963, UNTOUCHED
48930,84345,85714,913799,3048,-3048, NO_EVENT
48955,83209,83796,344119,1564,-1136, NO_EVENT
48980,82807,82939,41420,550,-402, NO_EVENT
49005,82586,82730,6454,223,-169, NO_EVENT
49030,84223,83286,88147,1380,1380, NO_EVENT
49055,87542,85638,1061551,3319,3319, NO_EVENT
49080,220730,143445,102615461,133188,133188, TOUCHED
49105,221604,221336,99059,874,874, TOUCHED
49130,222363,221837,130118,779,759, TOUCHED
49155,223246,222679,151353,883,883, TOUCHED
49180,93906,159745,51119646,129340,-129340, UNTOUCHED
49205,84939,87962,7439892,8967,-8967, NO_EVENT
49230,82402,83336,528561,2537,-2537, NO_EVENT
49255,82576,82648,22198,522,174, NO_EVENT
49280,82528,82602,9672,316,-111, NO_EVENT
49305,82640,82635,5916,209,112, NO_EVENT
49330,82554,82622,9319,288,-86, NO_EVENT
49355,83712,83019,132516,1158,1158, NO_EVENT
49380,149646,88943,155386340,65327,65327, TOUCHED
49405,221976,190918,136005001,73930,72330, TOUCHED
49430,222497,222259,63002,521,521, TOUCHED
49455,98055,202142,19365654,124571,-124442, TOUCHED
49480,87378,91509,14923198,10677,-10677, UNTOUCHED
49505,83421,85572,739128,3124,-3124, NO_EVENT
49530,82702,83274,54956,847,-719, NO_EVENT
49555,82762,82818,51768,594,60, NO_EVENT
49580,82724,82793,11150,256,-38, NO_EVENT
49605,82709,82779,15019,364,-15, NO_EVENT
49630,82642,82768,20674,377,14, NO_EVENT
49655,82824,82788,23160,434,182, NO_EVENT
49680,82980,82967,8584,245,156, NO_EVENT
49705,86205,84880,586663,3225,3225, NO_EVENT
